DiagnosisCode,Description,AutoReject,ICDType,MinorClaims
62,MOSQUITO-BORNE VIRAL ENCEPHALITIS,N,9,N
213,BENIGN NEOPLASM OF BONE AND ARTICULAR CARTILAGE,N,9,N
389,HEARING LOSS,N,9,N
572,LIVER ABSCESS AND SEQUELAE OF CHRONIC LIVER DISEASE,N,9,N
763,FETUS OR NEWBORN AFFECTED BY OTHER COMPLICATIONS OF LABOR AND DELI,N,9,N
916,SECONDARY SYPHILIS OF VISCERA AND BONE,Y,9,N
1123,CANDIDIASIS OF SKIN AND NAILS,N,9,N
1313,"TUBERCULOMA OF MENINGES, TUBERCLE BACILLI FOUND (IN SPUTUM) BY MIC",N,9,N
1516,"TUBERCULOSIS OF HIP, TUBERCLE BACILLI NOT FOUND BY BACTERIOLOGICAL",N,9,N
1625,"TUBERCULOSIS OF URETER, TUBERCLE BACILLI NOT FOUND BY BACTERIOLOGI",N,9,N
1796,"TUBERCULOSIS OF OTHER SPECIFIED ORGANS, TUBERCLE BACILLI NOT FOUND",N,9,N
2119,BENIGN NEOPLASM OF OTHER AND UNSPECIFIED SITE IN THE DIGESTIVE SYS,N,9,N
2449,UNSPECIFIED ACQUIRED HYPOTHYROIDISM,N,9,N
2863,CONGENITAL DEFICIENCY OF OTHER CLOTTING FACTORS,Y,9,N
3370,IDIOPATHIC PERIPHERAL AUTONOMIC NEUROPATHY,N,9,N
3709,UNSPECIFIED KERATITIS,N,9,N
4339,OCCLUSION AND STENOSIS OF UNSPECIFIED PRECEREBRAL ARTERY,N,9,N
5208,OTHER SPECIFIED DISORDERS OF TOOTH DEVELOPMENT AND ERUPTION,N,9,N
5903,PYELOURETERITIS CYSTICA,N,9,N
6270,PREMENOPAUSAL MENORRHAGIA,N,9,N
6663,POSTPARTUM COAGULATION DEFECTS,Y,9,N
7143,JUVENILE CHRONIC POLYARTHRITIS,N,9,N
7232,CERVICOCRANIAL SYNDROME,N,9,N
7309,UNSPECIFIED INFECTION OF BONE,N,9,N
7400,ANENCEPHALUS,Y,9,N
7484,CONGENITAL CYSTIC LUNG,Y,9,N
7558,OTHER SPECIFIED CONGENITAL ANOMALIES OF UNSPECIFIED LIMB,Y,9,N
7623,PLACENTAL TRANSFUSION SYNDROMES AFFECTING FETUS OR NEWBORN,N,9,N
7624,PROLAPSED UMBILICAL CORD AFFECTING FETUS OR NEWBORN,N,9,N
7625,OTHER COMPRESSION OF UMBILICAL CORD AFFECTING FETUS OR NEWBORN,N,9,N
7626,OTHER AND UNSPECIFIED CONDITIONS OF UMBILICAL CORD AFFECTING FETUS,N,9,N
7627,CHORIOAMNIONITIS AFFECTING FETUS OR NEWBORN,N,9,N
7628,OTHER SPECIFIED ABNORMALITIES OF CHORION AND AMNION AFFECTING FETU,N,9,N
7629,UNSPECIFIED ABNORMALITY OF CHORION AND AMNION AFFECTING FETUS OR N,N,9,N
7630,BREECH DELIVERY AND EXTRACTION AFFECTING FETUS OR NEWBORN,N,9,N
7631,"OTHER MALPRESENTATION, MALPOSITION, AND DISPROPORTION DURING LABOR",N,9,N
7632,FORCEPS DELIVERY AFFECTING FETUS OR NEWBORN,N,9,N
7633,DELIVERY BY VACUUM EXTRACTOR AFFECTING FETUS OR NEWBORN,N,9,N
7634,CESAREAN DELIVERY AFFECTING FETUS OR NEWBORN,N,9,N
7635,MATERNAL ANESTHESIA AND ANALGESIA AFFECTING FETUS OR NEWBORN,N,9,N
7636,PRECIPITATE DELIVERY AFFECTING FETUS OR NEWBORN,N,9,N
7637,ABNORMAL UTERINE CONTRACTIONS AFFECTING FETUS OR NEWBORN,N,9,N
7638,OTHER SPECIFIED COMPLICATIONS OF LABOR AND DELIVERY AFFECTING FETU,N,9,N
7639,UNSPECIFIED COMPLICATION OF LABOR AND DELIVERY AFFECTING FETUS OR,N,9,N
7640,"LIGHT-FOR-DATES"" INFANT WITHOUT MENTION OF FETAL MALNUTRITION""",N,9,N
7641,"LIGHT-FOR-DATES"" INFANT WITH SIGNS OF FETAL MALNUTRITION""",N,9,N
7642,"FETAL MALNUTRITION WITHOUT MENTION OF LIGHT-FOR-DATES""""",N,9,N
7649,UNSPECIFIED FETAL GROWTH RETARDATION,N,9,N
7650,DISORDERS RELATING TO EXTREME IMMATURITY OF INFANT,N,9,N
7651,DISORDERS RELATING TO OTHER PRETERM INFANTS,N,9,N
7660,EXCEPTIONALLY LARGE BABY RELATING TO LONG GESTATION,N,9,N
7661,"OTHER HEAVY-FOR-DATES"" INFANTS NOT RELATED TO GESTATION PERIOD""",N,9,N
7662,"POST-TERM INFANT, NOT HEAVY-FOR-DATES""""",N,9,N
7670,SUBDURAL AND CEREBRAL HEMORRHAGE DUE TO BIRTH TRAUMA,N,9,N
7671,INJURIES TO SCALP DUE TO BIRTH TRAUMA,N,9,N
7672,FRACTURE OF CLAVICLE DUE TO BIRTH TRAUMA,N,9,N
7673,OTHER INJURIES TO SKELETON DUE TO BIRTH TRAUMA,N,9,N
7674,INJURY TO SPINE AND SPINAL CORD DUE TO BIRTH TRAUMA,N,9,N
7675,FACIAL NERVE INJURY DUE TO BIRTH TRAUMA,N,9,N
7676,INJURY TO BRACHIAL PLEXUS DUE TO BIRTH TRAUMA,N,9,N
7677,OTHER CRANIAL AND PERIPHERAL NERVE INJURIES DUE TO BIRTH TRAUMA,N,9,N
7678,OTHER SPECIFIED BIRTH TRAUMA,N,9,N
7679,UNSPECIFIED BIRTH TRAUMA,N,9,N
7680,FETAL DEATH FROM ASPHYXIA OR ANOXIA BEFORE ONSET OF LABOR OR AT UN,N,9,N
7681,FETAL DEATH FROM ASPHYXIA OR ANOXIA DURING LABOR,N,9,N
7141,FELTYS SYNDROME,N,9,N
7142,OTHER RHEUMATOID ARTHRITIS WITH VISCERAL OR SYSTEMIC INVOLVEMENT,N,9,N
7621,OTHER FORMS OF PLACENTAL SEPARATION AND HEMORRHAGE AFFECTING FETUS,N,9,N
7622,OTHER AND UNSPECIFIED MORPHOLOGICAL AND FUNCTIONAL ABNORMALITIES O,N,9,N
7682,"FETAL DISTRESS BEFORE ONSET OF LABOR, IN LIVEBORN INFANT",N,9,N
7683,"FETAL DISTRESS FIRST NOTED DURING LABOR, IN LIVEBORN INFANT",N,9,N
7685,SEVERE BIRTH ASPHYXIA,N,9,N
7686,MILD OR MODERATE BIRTH ASPHYXIA,N,9,N
7689,UNSPECIFIED SEVERITY OF BIRTH ASPHYXIA IN LIVEBORN INFANT,N,9,N
7690,RESPIRATORY DISTRESS SYNDROME IN NEWBORN,N,9,N
7700,CONGENITAL PNEUMONIA,N,9,N
7701,MASSIVE ASPIRATION SYNDROME OF NEWBORN,N,9,N
7702,INTERSTITIAL EMPHYSEMA AND RELATED CONDITIONS OF NEWBORN,N,9,N
7703,PULMONARY HEMORRHAGE OF FETUS OR NEWBORN,N,9,N
7704,PRIMARY ATELECTASIS OF NEWBORN,N,9,N
7705,OTHER AND UNSPECIFIED ATELECTASIS OF NEWBORN,N,9,N
7706,TRANSITORY TACHYPNEA OF NEWBORN,N,9,N
7707,CHRONIC RESPIRATORY DISEASE ARISING IN THE PERINATAL PERIOD,N,9,N
7708,OTHER NEWBORN RESPIRATORY PROBLEMS,N,9,N
7709,UNSPECIFIED RESPIRATORY CONDITION OF FETUS AND NEWBORN,N,9,N
7710,CONGENITAL RUBELLA,N,9,N
7711,CONGENITAL CYTOMEGALOVIRUS INFECTION,N,9,N
7712,OTHER CONGENITAL INFECTIONS SPECIFIC TO THE PERINATAL PERIOD,N,9,N
7713,TETANUS NEONATORUM,N,9,N
7714,OMPHALITIS OF THE NEWBORN,N,9,N
7715,NEONATAL INFECTIVE MASTITIS,N,9,N
7716,NEONATAL CONJUNCTIVITIS AND DACRYOCYSTITIS,N,9,N
7717,NEONATAL CANDIDA INFECTION,N,9,N
7718,OTHER TYPE OF INFECTION SPECIFIC TO THE PERINATAL PERIOD,N,9,N
7720,FETAL BLOOD LOSS,N,9,N
7721,INTRAVENTRICULAR HEMORRHAGE OF FETUS OR NEWBORN,N,9,N
7722,SUBARACHNOID HEMORRHAGE OF NEWBORN,N,9,N
7723,UMBILICAL HEMORRHAGE AFTER BIRTH,N,9,N
7724,GASTROINTESTINAL HEMORRHAGE OF FETUS OR NEWBORN,N,9,N
7725,ADRENAL HEMORRHAGE OF FETUS OR NEWBORN,N,9,N
7726,CUTANEOUS HEMORRHAGE OF FETUS OR NEWBORN,N,9,N
7728,OTHER SPECIFIED HEMORRHAGE OF FETUS OR NEWBORN,N,9,N
7729,UNSPECIFIED HEMORRHAGE OF NEWBORN,N,9,N
7730,HEMOLYTIC DISEASE OF FETUS OR NEWBORN DUE TO RH ISOIMMUNIZATION,Y,9,N
7731,HEMOLYTIC DISEASE OF FETUS OR NEWBORN DUE TO ABO ISOIMMUNIZATION,Y,9,N
